# COMMAND: Rscript --vanilla /metfark/config/splus/synop /lustre/storeA/project/nwp/fark/2018/04/19/meps_syno_002d.table /lustre/storeA/project/nwp/fark/
#
# TYPE:synop
#
# ATTRIBUTES:17
# _n:4
# title_string1:Mean Sea Level Pressure
# title_string2:Temperature 2m
# title_string3:Relative Humidity 2m
# title_string4:Wind Speed 10m
# axis_string1:MSLP (hPa)
# axis_string2:T2m (K)
# axis_string3:Rh2m (%)
# axis_string4:FF10m (m/s)
# file_string1:mslp
# file_string2:t2m
# file_string3:rh2m
# file_string4:ff10m
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:1
# 1:MEPS 2.5km
#
# COLUMNS:15
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_sta
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# altitude_meter:round(geopot/9.81,0.01)
# model_variable1:round(pres/100.0,0.01)
# model_variable2:round(t2m,0.01)
# model_variable3:round(rh*100,0.01)
# model_variable4:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_pres/100.0,0.01)
# obs_variable2:round(obs_t2m,0.01)
# obs_variable3:round(obs_rh,0.01)
# obs_variable4:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg altitude_meter model_variable1 model_variable2 model_variable3 model_variable4 obs_variable1 obs_variable2 obs_variable3 obs_variable4
 1 1523923200 1523923200 1020 60.291 24.568 80.6 1013.85 278.49 99.86 .69 1013.9 279.45 100 1.4
 1 1523923200 1523923200 1020 60.178 24.787 11.95 1013.8 279.86 98.21 .78 1013.7 280.15 99 1.5
 1 1523923200 1523923200 1020 60.304 25.549 7 1013.49 279.12 99.56 1.06 NA 277.35 100 .6
 1 1523923200 1523923200 1020 59.844 23.248 -.06 1014.75 276.85 99.84 3.41 NA 276.05 99 NA
 1 1523923200 1523923200 1020 60.374 23.113 21.33 1014.88 277.74 99.11 2.23 NA 278.65 98 NA
 1 1523923200 1523923200 1020 60.244 24.05 56.84 1014.15 277.83 98.76 1.35 NA 277.15 99 NA
 1 1523923200 1523923200 1020 60.596 24.803 100.68 1013.72 279.23 99.93 .84 1013.8 280.15 99 NA
 1 1523923200 1523923200 1020 61.115 24.324 88.47 1013.71 279.68 100 .88 NA 280.15 100 NA
 1 1523923200 1523923200 1020 61.054 25.038 148.96 1013.66 278.66 100 .75 NA 278.95 99 NA
 1 1523923200 1523923200 1020 60.696 26.811 33.41 1013.26 280.09 99.74 2.17 NA 279.65 100 NA
 1 1523923200 1523923200 1020 61.2 26.05 100.55 1013.57 278.54 98.76 1.09 NA 278.75 100 NA
 1 1523923200 1523923200 1020 62.183 22.8 161.33 1013.74 276.99 99.98 .34 NA 277.15 100 NA
 1 1523923200 1523923200 1020 61.846 24.287 168.42 1013.6 277.83 100 1.1 NA 277.75 100 NA
 1 1523923200 1523923200 1020 61.86 24.815 133.46 1013.68 277.65 99.84 1.15 NA 279.55 100 NA
 1 1523923200 1523923200 1020 61.879 26.095 138.01 1014.09 277.59 99.46 1.57 NA 276.55 98 NA
 1 1523923200 1523923200 1020 62.235 30.347 112.18 1016.04 273.86 98.22 .63 NA 274.55 82 NA
 1 1523923200 1523923200 1020 62.922 26.425 130.7 1014.78 277.1 99.59 1.23 NA 275.65 95 NA
 1 1523923200 1523923200 1020 64.143 25.423 115.05 1015.31 275.07 99.04 .89 NA 274.45 88 NA
 1 1523923200 1523923200 1020 63.667 28.829 113.05 1016.33 273.55 99.94 .34 NA 271.05 94 NA
 1 1523923200 1523923200 1020 64.664 28.057 308.05 1015.33 277.03 95.84 .85 NA 275.75 93 .6
 1 1523923200 1523923200 1020 66.37 29.312 238.58 1015.79 273.07 97.87 .94 NA 273.25 85 NA
 1 1523923200 1523923200 1020 66.32 29.4 277.98 1015.47 273.72 98.75 1.21 NA 275.85 63 2
 1 1523923200 1523923200 1020 66.53 24.65 105.24 1015.73 272.27 99.99 .65 NA 270.35 86 NA
 1 1523923200 1523923200 1020 67.652 24.902 183.34 1017.91 273.41 88.63 1.85 NA 274.25 78 1.5
 1 1523923200 1523923200 1020 67.749 29.611 349.25 1016.66 272.96 99.2 1.28 NA 274.55 70 NA
 1 1523923200 1523923200 1020 69.043 20.851 622.37 1019.56 269.14 85.44 3.29 NA 270.75 76 NA
 1 1523923200 1523923200 1020 69.141 27.266 159.35 1018.81 270.5 94.38 1.92 NA 270.75 99 NA
 1 1523923200 1523923200 1020 69.582 28.894 115.47 1018.41 271.39 88.23 1.36 NA 269.55 96 1.3
 1 1523923200 1523923200 1020 69.757 27.012 160.78 1019.36 269.84 95.83 .8 NA 273.45 90 NA
 1 1523923200 1523923200 1020 61.522 28.185 84.85 1014.9 276.33 100 .86 NA 276.85 89 1
 1 1523923200 1523923200 1020 61.501 23.765 96.22 1013.74 277.42 98.97 .9 NA 281.05 95 NA
 1 1523923200 1523923200 1020 67.997 24.21 330.16 1018.56 271.63 89.1 2.42 NA 273.65 77 3.1
 1 1523923200 1523923200 1020 66.171 29.136 324.53 1014.85 274.86 98.17 .77 1015.1 275.75 69 NA
 1 1523923200 1523923200 1020 60.125 19.904 10.15 1016.24 272.99 99.31 1.28 1015.9 271.45 99 0
 1 1523923200 1523923200 1020 59.821 23.573 .44 1014.54 276.65 99.28 3.97 1014.2 276.75 100 3.8
 1 1523923200 1523923200 1020 60.464 23.65 111.66 1014.39 279.24 100 2.35 1014.1 280.15 100 2
 1 1523923200 1523923200 1020 60.105 24.975 .13 1013.84 276.57 100 2.99 1014.3 277.65 100 1.5
 1 1523923200 1523923200 1020 60.203 24.961 19.72 1013.73 280.26 97.93 .99 1013.7 280.65 99 2.7
 1 1523923200 1523923200 1020 60.392 25.607 25.07 1013.49 278.77 99.84 .76 1013.4 278.75 100 .8
 1 1523923200 1523923200 1020 60.898 26.949 78.23 1013.45 280.16 99.83 1.93 1013 280.35 96 3.6
 1 1523923200 1523923200 1020 61.63 21.376 .22 1014.83 274.73 99.82 3.05 1015.1 275.35 100 6
 1 1523923200 1523923200 1020 61.855 24.805 134.06 1013.68 277.63 99.89 1.14 1013.5 279.65 100 0
 1 1523923200 1523923200 1020 61.946 28.931 97.82 1015.31 274.68 99.22 1.25 1015.6 275.15 87 0
 1 1523923200 1523923200 1020 62.66 29.612 108.83 1015.79 273.96 97.51 .73 1015.5 276.45 64 1.5
 1 1523923200 1523923200 1020 63.951 22.845 .02 1014.35 277.28 93.83 3.08 1014.4 276.35 95 2.6
 1 1523923200 1523923200 1020 63.721 23.139 24.54 1014.36 275.97 98.84 1.02 1014.3 276.55 93 0
 1 1523923200 1523923200 1020 63.821 24.163 99.27 1014.82 275.34 99.13 1.12 1014.9 273.55 99 .8
 1 1523923200 1523923200 1020 63.841 27.221 191.51 1015.39 275.76 98.21 .84 1015.3 280.05 80 1.1
 1 1523923200 1523923200 1020 65.02 24.728 11.28 1015.28 272.14 97.44 .58 NA 271.95 98 1
 1 1523923200 1523923200 1020 64.666 24.407 2.98 1015.27 273.67 95.97 .52 1015.6 273.75 91 1.9
 1 1523923200 1523923200 1020 65.977 26.368 158.97 1015.79 273.51 99.99 .86 1015.3 272.65 84 .7
 1 1523923200 1523923200 1020 65.993 29.227 269.5 1014.97 271.56 98.88 .48 1015.1 274.55 71 0
 1 1523923200 1523923200 1020 67.693 24.855 189.8 1017.98 273.32 88.39 1.99 1017.2 275.55 69 3.1
 1 1523923200 1523923200 1020 67.987 24.243 316.82 1018.57 271.81 88.96 2.1 1018.5 272.85 81 3.3
 1 1523923200 1523923200 1020 68.084 27.185 261.43 1017.91 272.26 90.24 1.83 1017.8 273.95 83 3.7
 1 1523923200 1523926800 1020 59.779 21.375 -.03 1015.75 273.8 100 5.02 1015.7 273.35 100 2.9
 1 1523923200 1523926800 1020 60.178 19.987 8.41 1016.3 273.23 99.98 1.53 1016.2 271.95 100 1.1
 1 1523923200 1523926800 1020 60.454 22.179 10.7 1014.98 276.24 98.23 2.66 1015.1 275.25 99 1.9
